Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Row ID,Postal Code,Sales,Quantity,Profit,Profit_year,Profit_month,Profit_day,Profit_dayofweek,Profit_quarter,Order Date_year,Order Date_month,Order Date_day,Order Date_dayofweek,Order Date_quarter,Ship Date_year,Ship Date_month,Ship Date_day,Ship Date_dayofweek,Ship Date_quarter,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000042420,1970-01-01 00:00:00.000000261,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000041,1970,1,1,3,1,2016,11,8,1,4,2016,11,11,4,4,False,True,False,False,False,False,True,False,False,False
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000042420,1970-01-01 00:00:00.000000731,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000219,1970,1,1,3,1,2016,11,8,1,4,2016,11,11,4,4,False,True,False,False,False,False,True,False,False,False
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000090036,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000006,1970,1,1,3,1,2016,6,12,6,2,2016,6,16,3,2,False,True,False,True,False,False,False,True,True,False
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000033311,1970-01-01 00:00:00.000000957,1970-01-01 00:00:00.000000005,1969-12-31 23:59:59.999999617,1969,12,31,2,4,2015,10,11,6,4,2015,10,18,6,4,False,False,True,False,False,False,True,False,False,False
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000033311,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970,1,1,3,1,2015,10,11,6,4,2015,10,18,6,4,False,False,True,False,False,False,True,False,True,False
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000090032,1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000014,1970,1,1,3,1,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,False,False
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000090032,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000001,1970,1,1,3,1,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,True,False
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000090032,1970-01-01 00:00:00.000000907,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000090,1970,1,1,3,1,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,False,True
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000090032,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000005,1970,1,1,3,1,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,True,False
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000090032,1970-01-01 00:00:00.000000114,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000034,1970,1,1,3,1,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,True,False
