Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Date_year,Order Date_month,Order Date_day,Order Date_dayofweek,Order Date_quarter,Ship Date_year,Ship Date_month,Ship Date_day,Ship Date_dayofweek,Ship Date_quarter,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Row ID_sqrt,Row ID_reciprocal,Postal Code_sqrt,Postal Code_reciprocal,Sales_log,Sales_sqrt,Sales_reciprocal,Quantity_log,Quantity_sqrt,Quantity_reciprocal,Discount_log,Discount_sqrt,Discount_reciprocal,Profit_log,Profit_sqrt,Profit_reciprocal,Row ID_binned,Postal Code_binned,Sales_binned,Quantity_binned,Discount_binned,Profit_binned
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,8,1,4,2016,11,11,4,4,False,True,False,False,False,False,True,False,False,False,1.0,1.0,205.9611613872868,2.3573785950023575e-05,5.572001929355964,16.18517840494815,0.003817376698732631,1.0986122886681098,1.4142135623730951,0.5,0.0,0.0,,3.7591887920119325,6.474071361979261,0.023858604367078942,0,1,3,0,0,3
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,11,8,1,4,2016,11,11,4,4,False,True,False,False,False,False,True,False,False,False,1.4142135623730951,0.5,205.9611613872868,2.3573785950023575e-05,6.597063843147503,27.05438966230804,0.001366232204825532,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.0,0.0,,5.396269507842064,14.818299497580686,0.00455410734941844,0,1,3,1,0,3
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,6,12,6,2,2016,6,16,3,2,False,True,False,True,False,False,False,True,True,False,1.7320508075688772,0.3333333333333333,300.0599940011997,1.1106668443733618e-05,2.7485521444115397,3.823610858861032,0.06839945280437756,1.0986122886681098,1.4142135623730951,0.5,0.0,0.0,,2.0632359373329026,2.6213355374694025,0.14553075064761184,0,3,0,0,0,1
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2015,10,11,6,4,2015,10,18,6,4,False,False,True,False,False,False,True,False,False,False,2.0,0.25,182.51301323467322,3.0020113476028938e-05,6.86545041472046,30.944749150704066,0.0010443018972354718,1.791759469228055,2.23606797749979,0.2,0.37156355643248307,0.6708203932499369,2.2222222222222223,0.0,0.0,-0.0026107547430886794,0,1,3,2,1,0
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,10,11,6,4,2015,10,18,6,4,False,False,True,False,False,False,True,False,True,False,2.23606797749979,0.2,182.51301323467322,3.0020113476028938e-05,3.15136756508544,4.729482001234384,0.04470672389127325,1.0986122886681098,1.4142135623730951,0.5,0.18232155679395465,0.4472135954999579,5.0,1.2574377389948865,1.5863164879682743,0.3973931012557622,0,1,1,0,0,1
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,False,False,2.449489742783178,0.16666666666666666,300.0533285934352,1.1107161897991826e-05,3.9092190780954117,6.989992846920518,0.020466639377814164,2.0794415416798357,2.6457513110645907,0.14285714285714285,0.0,0.0,,2.719280240831381,3.764226348135829,0.07057461854418677,0,3,1,3,0,2
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,True,False,2.6457513110645907,0.14285714285714285,300.0533285934352,1.1107161897991826e-05,2.1138429683971687,2.6981475126464085,0.13736263736263735,1.6094379124341003,2.0,0.25,0.0,0.0,,1.0870793728543855,1.4019985734657507,0.5087505087505088,0,3,0,2,0,1
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,False,True,2.8284271247461903,0.125,300.0533285934352,1.1107161897991826e-05,6.8114117654723865,30.118964125613616,0.0011023510944141665,1.9459101490553132,2.449489742783178,0.16666666666666666,0.18232155679395465,0.4472135954999579,5.0,4.5186881234323115,9.524452740184078,0.011023510944141666,0,3,3,3,0,3
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,True,False,3.0,0.1111111111111111,300.0533285934352,1.1107161897991826e-05,2.970619572738916,4.301627598944381,0.05404236921746649,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.18232155679395465,0.4472135954999579,5.0,1.9143457655509497,2.4046829312822093,0.17293558149589278,0,3,1,1,0,1
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,True,False,3.1622776601683795,0.1,300.0533285934352,1.1107161897991826e-05,4.752727750345706,10.719141756689293,0.008703220191470844,1.791759469228055,2.23606797749979,0.2,0.0,0.0,,3.5686872687855304,5.871115737234278,0.02901073397156948,0,3,2,2,0,3
